time_s,parcel_height_m,kid_nearest_height_m,height_difference_m,w_m_s,temperature_K,pressure_mb,qv_kg_kg,RH_percent,cloud_mass_kg_kg,rain_mass_kg_kg
30.0,29.70270748467435,25.0,-4.702707484674349,0.3128689229488373,297.6651916503906,997.2430419921875,0.014959459193050861,75.5135269165039,0.0,0.0
60.0,43.69503367303347,50.0,6.304966326966529,0.6180340051651001,297.421142578125,994.3836669921875,0.014949706383049488,76.3832015991211,0.0,0.0
90.0,66.63244105645163,75.0,8.367558943548374,0.9079809784889221,297.1771240234375,991.5300903320312,0.014946150593459606,77.29654693603516,0.0,0.0
120.0,97.95013454025847,100.0,2.0498654597415253,1.1755704879760742,296.93310546875,988.682373046875,0.014951225370168686,78.26765441894531,0.0,0.0
150.0,136.87696857341695,125.0,-11.876968573416946,1.4142135381698608,296.6890563964844,985.8405151367188,0.014958169311285019,79.26255798339844,0.0,0.0
180.0,182.45443531127543,175.0,-7.454435311275432,1.6180340051651,296.2010192871094,980.1742553710938,0.01495575625449419,81.20716094970703,0.0,0.0
210.0,233.56026625980795,225.0,-8.560266259807946,1.7820130586624146,295.71295166015625,974.5313720703125,0.014955727383494377,83.219970703125,0.0,0.0
240.0,288.93606625053286,300.0,11.06393374946714,1.9021130800247192,294.9808654785156,966.110595703125,0.014939447864890099,86.25360107421875,0.0,0.0
270.0,347.2182993059351,350.0,2.7817006940649094,1.9753767251968384,294.4927978515625,960.5256958007812,0.01494657713919878,88.4533920288086,0.0,0.0
300.0,406.97186342054874,400.0,-6.971863420548743,2.0,294.0047302246094,954.9638671875,0.014953392557799816,90.71549987792969,0.0,0.0
330.0,466.72542753516234,475.0,8.27457246483766,1.9753767251968384,293.27264404296875,946.6643676757812,0.014940883964300156,94.0904541015625,0.0,2.635979212683992e-10
360.0,525.0076605905647,525.0,-0.007660590564682934,1.9021130800247192,292.7845764160156,941.1600341796875,0.014947531744837761,96.51769256591797,0.0,3.3376201802326477e-09
390.0,580.3834605812897,575.0,-5.3834605812896825,1.7820130586624146,292.2965393066406,935.6786499023438,0.014956950210034847,99.03504180908203,0.0,1.1703247260186345e-08
