w_m_s,aerosol_N_m3,aerosol_radius_m,aerosol_kappa,dt_s,requested_t_end_s,saturation_time_s,activation_time_s,time_to_activation_s,time_from_saturation_to_activation_s,activated_fraction,S_at_activation,Sc_at_activation,SSmax,SSmax_percent,time_of_SSmax_s,fraction_at_SSmax,Nc_final,qc_final,qv_final,mean_radius_um,T_final_K,p_final_Pa,height_gain_m,simulation_time_s,water_error,stop_reason
1.0,100000000.0,5e-08,0.05,0.25,3600.0,94.25,104.75,10.5,10.5,0.5842956339416161,0.005734889462054031,0.00565561394708093,0.008964231527574506,0.8964231527574507,116.0,0.5840219961451135,58429563.39416161,0.0028772075194465683,0.005292792480553445,22.15401526292861,273.1493040822664,72519.33173971606,1756.75,1756.75,1.3877787807814457e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.1,0.25,3600.0,94.25,101.75,7.5,7.5,0.8113047606621044,0.0041119925000501,0.003998499795498682,0.0072457099419596235,0.7245709941959624,112.75,0.8109605914631478,81130476.06621045,0.0028783123747693827,0.005291687625230576,19.860333837113174,273.14961248695454,72517.23065388271,1757.0,1757.0,-4.163336342344337e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,1.0,0.0023572859935489677,0.0023081452639105863,0.00574273339604307,0.5742733396043069,111.75,1.0,100000000.0,0.002879085702778685,0.00529091429722129,18.52462265660089,273.149095375423,72515.05383187764,1757.25,1757.25,-2.42861286636753e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.6,0.25,3600.0,94.25,97.25,3.0,3.0,1.0,0.0016833475663121259,0.00163199921261532,0.005480476299674655,0.5480476299674655,112.25,1.0,100000000.0,0.0028790857632444685,0.005290914236755554,18.52462292034916,273.1490955259848,72515.05544625528,1757.25,1757.25,2.2551405187698492e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,1.0,0.25,3600.0,94.25,96.5,2.25,2.25,1.0,0.0012792371823371856,0.0012640919149113534,0.005387697548389307,0.5387697548389307,112.5,1.0,100000000.0,0.0028790857873900472,0.005290914212609925,18.524623025671143,273.14909558610873,72515.05609092317,1757.25,1757.25,-2.7755575615628914e-17,warm-cloud temperature limit reached
