activation_scheme,w_m_s,aerosol_N_m3,dt_s,saturation_time_s,activation_time_s,activation_1pct_time_s,activation_1pct_delay_s,activation_50pct_time_s,activation_50pct_delay_s,activation_90pct_time_s,activation_90pct_delay_s,S_at_1pct_activation,S_at_50pct_activation,S_at_90pct_activation,SSmax,SSmax_percent,activated_fraction,fraction_at_SSmax,Nc_final,qc_final,mean_radius_um,ARG_Sm_percent,ARG_Smax_prediction_percent,ARG_fraction_prediction,water_error
simple_kappa,0.2,10000000.0,0.25,470.75,492.25,492.5,21.75,503.25,32.5,514.0,43.25,0.0023572659478716613,0.003468773907484002,0.004392756057690665,0.005597628659751857,0.5597628659751857,1.0,1.0,10000000.0,0.0011337527939089527,30.319360635050938,0.14864878645764099,0.5577688524562355,0.9956040827269725,2.6020852139652106e-17
simple_kappa,0.2,50000000.0,0.25,470.75,492.25,492.5,21.75,506.25,35.5,,,0.0023567735364182518,0.003467322437398717,,0.0036825813282994357,0.3682581328299436,0.59516659839117,0.5951428449788723,29758329.919558503,0.001135704394329879,21.091005082540978,0.14864878645764099,0.30716447160008764,0.924790377136305,-5.551115123125783e-17
simple_kappa,0.2,100000000.0,0.25,470.75,492.25,492.5,21.75,,,,,0.0023561580365932485,,,0.0032509177780290156,0.32509177780290155,0.4082645318828899,0.4081862772159429,40826453.188288994,0.0011360509367389,18.9829344876486,0.14864878645764099,0.23896042403170362,0.8265363662328894,0.0
simple_kappa,0.2,200000000.0,0.25,470.75,492.25,492.5,21.75,,,,,0.0023549270852478497,,,0.0029318325235057263,0.29318325235057263,0.27009320485464977,0.2699654718864375,54018640.97092996,0.00113630228211729,17.292631521265665,0.14864878645764099,0.1857258976989723,0.670471778643171,-1.249000902703301e-16
simple_kappa,0.5,10000000.0,0.25,188.25,197.0,197.0,8.75,201.25,13.0,205.0,16.75,0.002357350406573198,0.0034863230143259067,0.004441395162636075,0.010400677125225877,1.0400677125225877,1.0,1.0,10000000.0,0.0028729827848682147,39.884241278903154,0.14864859347237996,0.9315533389244788,0.9998617061047576,0.0
simple_kappa,0.5,50000000.0,0.25,188.25,197.0,197.0,8.75,201.5,13.25,206.5,18.25,0.002357350406573198,0.003476343727103291,0.004413959430509716,0.005068287560017736,0.5068287560017736,1.0,1.0,50000000.0,0.002879408951338471,23.340331967313666,0.14864859347237996,0.5066867660927039,0.9924450815504157,1.1275702593849246e-16
simple_kappa,0.5,100000000.0,0.25,188.25,197.0,197.0,8.75,202.0,13.75,,,0.002357350406573198,0.003486637521537368,,0.004190997484473658,0.41909974844736586,0.8152561521200424,0.815167551345134,81525615.21200424,0.002880360702943531,19.83243054737907,0.14864859347237996,0.38976380991069537,0.9719286600766943,3.469446951953614e-18
simple_kappa,0.5,200000000.0,0.25,188.25,197.0,197.0,8.75,203.5,15.25,,,0.002357350406573198,0.003476663661838872,,0.003608326878048419,0.3608326878048419,0.5629989109327734,0.5626133233025092,112599782.18655469,0.0028808379570599766,17.80942863569621,0.14864859347237996,0.29969598688572996,0.917626872920102,3.9898639947466563e-17
simple_kappa,1.0,10000000.0,0.25,94.25,98.5,98.5,4.25,100.75,6.5,102.5,8.25,0.0023572859935489677,0.003560378627250708,0.004481345764753137,0.01733967073833068,1.733967073833068,1.0,1.0,10000000.0,0.0028635357836450403,39.84435505124279,0.14864955840294553,1.37574036514576,0.9999948026349905,-3.9898639947466563e-17
simple_kappa,1.0,50000000.0,0.25,94.25,98.5,98.5,4.25,100.75,6.5,102.75,8.5,0.0023572859935489677,0.003516880353639751,0.004458519658102926,0.00789183798994676,0.7891837989946761,1.0,1.0,50000000.0,0.002876416698171228,23.333021814428253,0.14864955840294553,0.7460994072704019,0.9993043132610786,1.734723475976807e-17
simple_kappa,1.0,100000000.0,0.25,94.25,98.5,98.5,4.25,100.75,6.5,103.25,9.0,0.0023572859935489677,0.0034662688336443317,0.004465902905602829,0.00574273339604307,0.5742733396043069,1.0,1.0,100000000.0,0.002879085702778685,18.52462265660089,0.14864955840294553,0.5717880282156528,0.9961985987766677,-2.42861286636753e-17
simple_kappa,1.0,200000000.0,0.25,94.25,98.5,98.5,4.25,101.0,6.75,105.0,10.75,0.0023572859935489677,0.0034725321759094107,0.004396767143335202,0.004461455793932694,0.44614557939326943,0.9322974333553793,0.9322352257164624,186459486.67107585,0.002880337193242897,15.052649888995372,0.14864955840294553,0.43719410580072826,0.9837190400385543,-2.949029909160572e-17
simple_kappa,2.0,10000000.0,0.25,47.25,49.25,49.25,2.0,50.5,3.25,51.25,4.0,0.0023571571641734243,0.0036981095212263,0.004497482683630754,0.029248455207098595,2.9248455207098596,1.0,1.0,10000000.0,0.0028445436647774568,39.763826537488995,0.14865148829539546,2.0329257369292217,0.9999998905060159,3.469446951953614e-18
simple_kappa,2.0,50000000.0,0.25,47.25,49.25,49.25,2.0,50.5,3.25,51.25,4.0,0.0023571571641734243,0.003664985591346235,0.004421467321944266,0.01305037760589107,1.305037760589107,1.0,1.0,50000000.0,0.0028704217395017864,23.318355776169803,0.14865148829539546,1.102162787449248,0.9999639838014085,1.734723475976807e-18
simple_kappa,2.0,100000000.0,0.25,47.25,49.25,49.25,2.0,50.5,3.25,51.5,4.25,0.0023571571641734243,0.00362548372138327,0.00455733758134121,0.009251372244823567,0.9251372244823567,1.0,1.0,100000000.0,0.002875768763828119,18.51820539558854,0.14865148829539546,0.8437486607986707,0.999709256489405,2.42861286636753e-17
simple_kappa,2.0,200000000.0,0.25,47.25,49.25,49.25,2.0,50.5,3.25,51.75,4.5,0.0023571571641734243,0.00355231933525099,0.0045427946511278575,0.0065831017729965635,0.6583101772996564,1.0,1.0,200000000.0,0.0028784263438663797,14.702126628323695,0.14865148829539546,0.6436751656820556,0.998156886390039,1.9081958235744878e-17
simple_kappa,3.0,10000000.0,0.25,31.5,33.0,33.0,1.5,33.75,2.25,34.25,2.75,0.0026267497979351384,0.0038338822597992397,0.004635851603791302,0.03984849801817755,3.9848498018177554,1.0,1.0,10000000.0,0.002825417124638741,39.68226258338091,0.14865148829539546,2.5547958224968177,0.9999999912562809,-6.938893903907228e-18
simple_kappa,3.0,50000000.0,0.25,31.5,33.0,33.0,1.5,33.75,2.25,34.25,2.75,0.0026267497979351384,0.0038038555524185134,0.004571921418011993,0.01768233620601667,1.7682336206016669,1.0,1.0,50000000.0,0.0028644127325289123,23.303628288779628,0.14865148829539546,1.3856576171000865,0.9999951330354495,8.673617379884035e-18
simple_kappa,3.0,100000000.0,0.25,31.5,33.0,33.0,1.5,33.75,2.25,34.25,2.75,0.0026267497979351384,0.0037676479624327726,0.004496406475320445,0.012478597967131326,1.2478597967131326,1.0,1.0,100000000.0,0.0028724468964038577,18.511771931622004,0.14865148829539546,1.0608436481726113,0.9999506496537218,-1.3877787807814457e-17
