w_m_s,aerosol_N_m3,aerosol_radius_m,aerosol_kappa,dt_s,requested_t_end_s,saturation_time_s,activation_time_s,time_to_activation_s,time_from_saturation_to_activation_s,activated_fraction,S_at_activation,Sc_at_activation,SSmax,SSmax_percent,time_of_SSmax_s,fraction_at_SSmax,Nc_final,qc_final,qv_final,mean_radius_um,T_final_K,p_final_Pa,height_gain_m,simulation_time_s,water_error,stop_reason
1.0,100000000.0,2e-08,0.3,0.25,3600.0,94.25,111.25,17.0,17.0,0.3589809137410829,0.009261630403503014,0.009129790470430908,0.012412792203077318,1.2412792203077319,122.5,0.3589600920470035,35898091.374108285,0.002875030097172887,0.0052949699028271065,26.053853143457836,273.14876767222216,72523.53747624828,1756.25,1756.25,-6.938893903907228e-18,warm-cloud temperature limit reached
1.0,100000000.0,3e-08,0.3,0.25,3600.0,94.25,103.5,9.25,9.25,0.6622086845799009,0.0050583123743706306,0.004967627868695116,0.008260972996107204,0.8260972996107204,114.75,0.6620339286403265,66220868.45799009,0.0028778928136786535,0.0052921071863213515,21.25015887597889,273.1485677631218,72517.13172667306,1757.0,1757.0,5.204170427930421e-18,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,1.0,0.0023572859935489677,0.0023081452639105863,0.00574273339604307,0.5742733396043069,111.75,1.0,100000000.0,0.002879085702778685,0.00529091429722129,18.52462265660089,273.149095375423,72515.05383187764,1757.25,1757.25,-2.42861286636753e-17,warm-cloud temperature limit reached
1.0,100000000.0,7e-08,0.3,0.25,3600.0,94.25,96.75,2.5,2.5,1.0,0.0014139195962842043,0.0013932582119764868,0.005416745134980373,0.5416745134980373,112.25,1.0,100000000.0,0.0028790857795963284,0.005290914220403672,18.5246229916749,273.1490955667011,72515.05588283238,1757.25,1757.25,0.0,warm-cloud temperature limit reached
1.0,100000000.0,1e-07,0.3,0.25,3600.0,94.25,95.75,1.5,1.5,1.0,0.0008753161802856956,0.0008159360405980081,0.00531255102397823,0.531255102397823,112.75,1.0,100000000.0,0.0028790858088205214,0.005290914191179499,18.524623119149766,273.14909563947174,72515.05666309758,1757.25,1757.25,2.0816681711721685e-17,warm-cloud temperature limit reached
