w_m_s,aerosol_N_m3,aerosol_radius_m,aerosol_kappa,dt_s,requested_t_end_s,activation_time_s,time_to_activation_s,activated_fraction,S_at_activation,Sc_at_activation,SSmax,SSmax_percent,time_of_SSmax_s,fraction_at_SSmax,Nc_final,qc_final,qv_final,mean_radius_um,T_final_K,p_final_Pa,height_gain_m,simulation_time_s,water_error,stop_reason
1.0,100000000.0,5e-08,0.3,2.0,3600.0,100.0,100.0,1.0,0.0031657911064734466,0.0023083250976915705,0.006301327423100558,0.6301327423100558,112.0,1.0,100000000.0,0.0028861866269783245,0.005283813373021687,18.538958015404244,273.1399069396654,72489.09794246238,1760.0,1760.0,1.214306433183765e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,1.0,3600.0,99.0,99.0,1.0,0.002626620268604702,0.002308205205909684,0.0059646838131198684,0.5964683813119869,112.0,1.0,100000000.0,0.0028814495472861603,0.005288550452713822,18.529588217007728,273.147653255173,72507.81749166474,1758.0,1758.0,-1.734723475976807e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.5,3600.0,98.5,98.5,1.0,0.0023571571641734243,0.0023081452639105863,0.0058147063330578445,0.5814706333057844,111.5,1.0,100000000.0,0.002879873702891861,0.0052901262971081445,18.52627826921596,273.14861479801607,72512.6417041488,1757.5,1757.5,5.204170427930421e-18,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.25,3600.0,98.5,98.5,1.0,0.0023572859935489677,0.0023081452639105863,0.00574273339604307,0.5742733396043069,111.75,1.0,100000000.0,0.002879085702778685,0.00529091429722129,18.52462265660089,273.149095375423,72515.05383187764,1757.25,1757.25,-2.42861286636753e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.1,3600.0,98.49999999999868,98.49999999999868,1.0,0.0023573632875320116,0.0023081452639103117,0.005700887102326061,0.5700887102326061,111.69999999999793,1.0,100000000.0,0.0028784541884784524,0.005291545811521571,18.523352791412055,273.14996560913636,72517.40841646737,1756.9999999994975,1756.9999999994975,2.42861286636753e-17,warm-cloud temperature limit reached
