time_s,parcel_height_m,w_m_s,temperature_K,pressure_Pa,qv_kg_kg,S_fraction,S_percent,qc_kg_kg,Nc_m3,activated_fraction,mean_radius_um,G_liquid_m2_s
30.0,29.702707820422823,0.31286893008046174,297.6192418857311,99670.47107050974,0.014959459193050861,-0.2371343780909815,-23.71343780909815,0.0,0.0,0.0,0.0,1.3048080693337735e-10
60.0,43.69503500776,0.6180339887498948,297.48252402745646,99510.41951328056,0.014959459193050861,-0.23209118245757807,-23.209118245757807,0.0,0.0,0.0,0.0,1.3013591069352945e-10
90.0,66.6324440287878,0.9079809994790935,297.2584045229785,99248.4458012776,0.014959459193050861,-0.22373890774496144,-22.373890774496143,0.0,0.0,0.0,0.0,1.2957024007111784e-10
120.0,97.95013974851234,1.1755705045849463,296.9524019383067,98891.55355115597,0.014959459193050861,-0.21216204044407103,-21.216204044407103,0.0,0.0,0.0,0.0,1.2879732482082499e-10
150.0,136.87697656084092,1.414213562373095,296.5720510726403,98449.22605678556,0.014959459193050861,-0.1974883798601133,-19.74883798601133,0.0,0.0,0.0,0.0,1.2783569906300384e-10
180.0,182.45444655268938,1.618033988749895,296.12671742660456,97933.12353498784,0.014959459193050861,-0.1798978011831402,-17.98978011831402,0.0,0.0,0.0,0.0,1.2670849857324272e-10
210.0,233.56028114990798,1.7820130483767356,295.62736659254193,97356.7197681989,0.014959459193050861,-0.15963234831348527,-15.963234831348528,0.0,0.0,0.0,0.0,1.254429499949927e-10
240.0,288.9360850941719,1.902113032590307,295.0862942452376,96734.894770027,0.014959459193050861,-0.13700664228891163,-13.700664228891164,0.0,0.0,0.0,0.0,1.240697578198994e-10
270.0,347.2183223106175,1.9753766811902755,294.5168233815988,96083.50103197987,0.014959459193050861,-0.11241727285216181,-11.24172728521618,0.0,0.0,0.0,0.0,1.2262239727325544e-10
300.0,406.9718906913198,2.0,293.9329762642532,95418.92064410856,0.014959459193050861,-0.08634954393007829,-8.63495439300783,0.0,0.0,0.0,0.0,1.2113632432511094e-10
330.0,466.7254590720221,1.9753766811902755,293.34912914690767,94757.62923986881,0.014959459193050861,-0.05937973729049324,-5.937973729049324,0.0,0.0,0.0,0.0,1.1964811793005036e-10
360.0,525.0076962884676,1.9021130325903073,292.7796582832689,94115.78050808002,0.014959459193050861,-0.032171029727047225,-3.2171029727047227,0.0,0.0,0.0,0.0,1.1819457401506588e-10
390.0,580.3835002327316,1.7820130483767358,292.2385859359645,93508.82221706468,0.014959459193050861,-0.0054614388043985425,-0.5461438804398543,0.0,0.0,0.0,0.0,1.1681177511984002e-10
420.0,631.4893348299508,1.618033988749895,291.85446843730756,92951.2018406685,0.014913181485551963,0.009566240157259999,0.9566240157259999,4.627770749890182e-05,49997169.195623,0.9999433839124601,6.258867711312053,1.1586609914090983e-10
